Crash.ID,State,Month,Year,Dayweek,Time,Crash.Type,Bus.Involvement,Heavy.Rigid.Truck.Involvement,Articulated.Truck.Involvement,Speed.Limit,Road.User,Gender,Age,National.Remoteness.Areas,SA4.Name.2016,National.LGA.Name.2017,National.Road.Type,Christmas.Period,Easter.Period,Age.Group,Day.of.week,TimeOfDay,NumberOfAccidents
20172029,Vic,4,2017,Sunday,14:30,Single,No,No,No,80,Passenger,Male,19,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges (S),Arterial Road,No,No,17_to_25,Weekend,Day,1
20171002,NSW,4,2017,Monday,13:30,Single,No,No,No,60,Passenger,Male,7,Major Cities of Australia,Richmond - Tweed,Tweed,Arterial Road,No,No,0_to_16,Weekday,Day,1
20174047,SA,4,2017,Wednesday,6:04,Multiple,No,No,No,110,Driver,Male,56,Inner Regional Australia,Adelaide - North,Mallala (DC),National or State Highway,No,No,40_to_64,Weekday,Day,1
20172165,Vic,4,2017,Friday,18:15,Multiple,No,No,No,70,Driver,Male,89,Major Cities of Australia,Mornington Peninsula,Frankston (C),Local Road,No,No,75_or_older,Weekend,Night,1
20172035,Vic,3,2017,Saturday,2:00,Single,No,No,No,60,Passenger,Male,22,Inner Regional Australia,Melbourne - West,Moorabool (S),Arterial Road,No,No,17_to_25,Weekend,Night,1
20175042,WA,3,2017,Sunday,14:43,Multiple,No,No,No,110,Driver,Female,25,Inner Regional Australia,Western Australia - Wheat Belt,Gingin (S),National or State Highway,No,No,17_to_25,Weekend,Day,1
20172221,Vic,3,2017,Friday,17:42,Multiple,No,No,Yes,60,Pedal cyclist,Female,35,Major Cities of Australia,Melbourne - West,Maribyrnong (C),Arterial Road,No,No,26_to_39,Weekday,Day,1
20171015,NSW,3,2017,Wednesday,7:30,Single,No,No,No,100,Passenger,Male,43,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road,No,No,40_to_64,Weekday,Day,1
20171033,NSW,3,2017,Wednesday,21:00,Single,No,No,No,80,Driver,Male,19,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Sub-arterial Road,No,No,17_to_25,Weekday,Night,1
20172055,Vic,2,2017,Friday,7:30,Single,No,No,No,100,Driver,Male,18,Inner Regional Australia,Shepparton,Campaspe (S),Arterial Road,No,No,17_to_25,Weekday,Day,1
20174056,SA,2,2017,Friday,16:15,Multiple,No,No,Yes,110,Driver,Male,49,Outer Regional Australia,South Australia - South East,Wattle Range (DC),Arterial Road,No,No,40_to_64,Weekday,Day,1
20172104,Vic,1,2017,Sunday,16:50,Multiple,No,No,No,100,Passenger,Female,38,Inner Regional Australia,Bendigo,Greater Bendigo (C),Arterial Road,No,No,26_to_39,Weekend,Day,1
20175062,WA,1,2017,Tuesday,15:21,Multiple,No,No,No,70,Motorcycle rider,Male,23,Major Cities of Australia,Perth - North West,Joondalup (C),Local Road,Yes,No,17_to_25,Weekday,Day,1
20171330,NSW,1,2017,Wednesday,11:55,Multiple,Yes,No,Yes,100,Passenger,Female,78,Major Cities of Australia,Illawarra,Wollongong,National or State Highway,No,No,75_or_older,Weekday,Day,1
20165158,WA,12,2016,Wednesday,14:30,Single,No,No,No,90,Driver,Male,40,Outer Regional Australia,Bunbury,Nannup (S),ARTERIAL ROAD,No,No,40_to_64,Weekday,Day,1
20167007,NT,12,2016,Friday,9:15,Single,No,No,No,130,Driver,Male,47,Remote Australia,Northern Territory - Outback,Unincorporated NT,National or State Highway,No,No,40_to_64,Weekday,Day,1
20161115,NSW,12,2016,Sunday,20:50,Single,No,No,No,50,Pedestrian,Female,66,Major Cities of Australia,Sydney - Parramatta,Cumberland,Local Road,No,No,65_to_74,Weekend,Night,1
20168008,ACT,11,2016,Sunday,11:55,Single,No,No,No,100,Motorcycle rider,Male,36,Inner Regional Australia,Australian Capital Territory,Unincorporated ACT,Collector Road,No,No,26_to_39,Weekend,Day,1
20161354,NSW,11,2016,Tuesday,9:45,Multiple,No,No,No,50,Driver,Male,22,Outer Regional Australia,Far West and Orana,Narromine,National or State Highway,No,No,17_to_25,Weekday,Day,1
20165136,WA,11,2016,Saturday,22:21,Multiple,No,No,No,80,Driver,Female,41,Major Cities of Australia,Perth - South West,Rockingham (C),ARTERIAL ROAD,No,No,40_to_64,Weekend,Night,1
20161336,NSW,10,2016,Saturday,23:00,Single,No,No,No,80,Passenger,Male,20,Inner Regional Australia,Hunter Valley exc Newcastle,Mid-Coast,Sub-arterial Road,No,No,17_to_25,Weekend,Night,1
20165167,WA,10,2016,Sunday,16:12,Single,No,No,No,110,Motorcycle pillion passenger,Female,10,Inner Regional Australia,Bunbury,Dardanup (S),LOCAL ROAD,No,No,0_to_16,Weekend,Day,1
20161238,NSW,10,2016,Tuesday,7:00,Multiple,No,No,No,70,Motorcycle rider,Male,56,Major Cities of Australia,Illawarra,Shellharbour,Collector Road,No,No,40_to_64,Weekday,Day,1
20166030,Tas,10,2016,Saturday,12:30,Single,No,No,No,80,Motorcycle rider,Male,16,Outer Regional Australia,West and North West,Kentish (M),Local Road,No,No,0_to_16,Weekend,Day,1
20161020,NSW,9,2016,Friday,5:55,Single,No,No,No,50,Driver,Male,36,Inner Regional Australia,Coffs Harbour - Grafton,Coffs Harbour,Local Road,No,No,26_to_39,Weekday,Night,1
20161173,NSW,9,2016,Monday,15:00,Multiple,No,No,No,60,Driver,Male,79,Major Cities of Australia,Sydney - Blacktown,Blacktown,Local Road,No,No,75_or_older,Weekday,Day,1
20165010,WA,9,2016,Wednesday,16:00,Single,No,No,No,100,Motorcycle rider,Female,41,Inner Regional Australia,Perth - South East,Serpentine-Jarrahdale (S),LOCAL ROAD,No,No,40_to_64,Weekday,Day,1
20165007,WA,9,2016,Saturday,19:31,Multiple,No,No,No,70,Passenger,Male,66,Major Cities of Australia,Perth - North West,Joondalup (C),LOCAL ROAD,No,No,65_to_74,Weekend,Night,1
20161176,NSW,8,2016,Sunday,1:00,Single,No,No,No,80,Driver,Female,30,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Arterial Road,No,No,26_to_39,Weekend,Night,1
20167024,NT,8,2016,Saturday,19:30,Single,No,No,No,110,Passenger,Female,44,Very Remote Australia,Northern Territory - Outback,MacDonnell (R),Sub-arterial Road,No,No,40_to_64,Weekend,Night,1
20168006,ACT,7,2016,Saturday,5:50,Single,No,No,No,100,Driver,Male,21,Inner Regional Australia,Australian Capital Territory,Unincorporated ACT,National or State Highway,No,No,17_to_25,Weekend,Night,1
20165046,WA,7,2016,Saturday,21:55,Single,No,No,No,80,Driver,Male,58,Major Cities of Australia,Perth - North East,Mundaring (S),ARTERIAL ROAD,No,No,40_to_64,Weekend,Night,1
20165084,WA,7,2016,Thursday,14:33,Multiple,No,No,Yes,50,Pedal cyclist,Male,12,Major Cities of Australia,Perth - North West,Wanneroo (C),LOCAL ROAD,No,No,0_to_16,Weekday,Day,1
20165017,WA,7,2016,Friday,10:30,Multiple,No,No,Yes,110,Driver,Male,43,Very Remote Australia,Western Australia - Outback (South),Cue (S),NATIONAL OR STATE HIGHWAY,No,No,40_to_64,Weekday,Day,1
20161007,NSW,6,2016,Saturday,21:00,Single,No,No,No,60,Passenger,Male,41,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,Local Road,No,No,40_to_64,Weekend,Night,1
20161157,NSW,6,2016,Sunday,14:28,Multiple,No,No,No,80,Motorcycle rider,Male,55,Outer Regional Australia,Central West,Mid-Western Regional,Arterial Road,No,No,40_to_64,Weekend,Day,1
20165048,WA,6,2016,Thursday,13:06,Single,No,No,No,80,Driver,Male,38,Major Cities of Australia,Perth - South West,Rockingham (C),ARTERIAL ROAD,No,No,26_to_39,Weekday,Day,1
20161166,NSW,6,2016,Wednesday,14:25,Multiple,No,No,No,100,Driver,Male,76,Outer Regional Australia,Capital Region,Snowy Monaro Regional,Local Road,No,No,75_or_older,Weekday,Day,1
20165064,WA,6,2016,Thursday,0:01,Single,No,No,No,110,Driver,Male,26,Outer Regional Australia,Western Australia - Wheat Belt,Cuballing (S),LOCAL ROAD,No,No,26_to_39,Weekday,Night,1
20161301,NSW,5,2016,Sunday,12:50,Multiple,No,No,No,100,Motorcycle rider,Male,53,Outer Regional Australia,Capital Region,Bega Valley,Local Road,No,No,40_to_64,Weekend,Day,1
20161183,NSW,5,2016,Saturday,9:50,Multiple,No,No,No,80,Motorcycle rider,Male,36,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road,No,No,26_to_39,Weekend,Day,1
20167021,NT,4,2016,Saturday,2:30,Single,No,No,No,60,Motorcycle rider,Male,43,Outer Regional Australia,Darwin,Darwin (C),Arterial Road,No,No,40_to_64,Weekend,Night,1
20161295,NSW,4,2016,Monday,8:15,Multiple,No,No,No,100,Driver,Male,23,Inner Regional Australia,Capital Region,Hilltops,Arterial Road,No,No,17_to_25,Weekday,Day,1
20161006,NSW,4,2016,Tuesday,6:18,Multiple,No,No,Yes,100,Driver,Female,54,Major Cities of Australia,Sydney - South West,Fairfield,National or State Highway,No,No,40_to_64,Weekday,Day,1
20161073,NSW,4,2016,Tuesday,21:20,Multiple,No,No,No,40,Pedal cyclist,Male,79,Major Cities of Australia,Sydney - South West,Fairfield,Local Road,No,No,75_or_older,Weekday,Night,1
20165044,WA,3,2016,Sunday,21:00,Multiple,No,No,No,90,Passenger,Male,30,Inner Regional Australia,Perth - North West,Wanneroo (C),ARTERIAL ROAD,No,No,26_to_39,Weekend,Night,1
20165015,WA,3,2016,Sunday,11:30,Single,No,No,No,110,Passenger,Female,20,Remote Australia,Western Australia - Wheat Belt,Kondinin (S),NATIONAL OR STATE HIGHWAY,No,No,17_to_25,Weekend,Day,1
20165155,WA,3,2016,Tuesday,15:00,Multiple,No,No,No,60,Pedal cyclist,Male,43,Major Cities of Australia,Perth - South East,Gosnells (C),ARTERIAL ROAD,No,No,40_to_64,Weekday,Day,1
20161213,NSW,2,2016,Monday,15:37,Multiple,No,Yes,No,70,Driver,Male,17,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Arterial Road,No,No,17_to_25,Weekday,Day,1
20164073,SA,1,2016,Saturday,11:50,Multiple,No,No,No,80,Passenger,Female,90,Major Cities of Australia,Adelaide - South,Onkaparinga (C),Collector Road,No,No,75_or_older,Weekend,Day,1
20161229,NSW,1,2016,Tuesday,12:39,Multiple,No,No,No,100,Passenger,Male,88,Inner Regional Australia,Riverina,Wagga Wagga,Sub-arterial Road,No,No,75_or_older,Weekday,Day,1
20161229,NSW,1,2016,Tuesday,12:39,Multiple,No,No,No,100,Driver,Male,57,Inner Regional Australia,Riverina,Wagga Wagga,Sub-arterial Road,No,No,40_to_64,Weekday,Day,1
20151205,NSW,12,2015,Monday,2:30,Multiple,No,No,No,60,Driver,Male,60,Major Cities of Australia,Sydney - Blacktown,Blacktown,Collector Road,No,No,40_to_64,Weekend,Night,1
20151154,NSW,12,2015,Sunday,11:05,Single,No,No,No,100,Motorcycle rider,Female,59,Outer Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,40_to_64,Weekend,Day,1
20155080,WA,12,2015,Wednesday,14:45,Multiple,No,No,Yes,110,Driver,Male,37,Very Remote Australia,Western Australia - Outback (North),Port Hedland (T),NATIONAL OR STATE HIGHWAY,No,No,26_to_39,Weekday,Day,1
20157011,NT,12,2015,Thursday,22:30,Single,No,No,No,80,Pedestrian,Male,37,Outer Regional Australia,Darwin,Darwin (C),Arterial Road,Yes,No,26_to_39,Weekday,Night,1
20152023,Vic,12,2015,Thursday,19:57,Single,No,No,No,100,Passenger,Male,19,Inner Regional Australia,Geelong,Golden Plains (S),Sub-arterial Road,Yes,No,17_to_25,Weekday,Night,1
20152202,Vic,11,2015,Sunday,16:45,Multiple,No,No,Yes,100,Driver,Female,19,Outer Regional Australia,North West,Horsham (RC),National or State Highway,No,No,17_to_25,Weekend,Day,1
20151302,NSW,10,2015,Sunday,18:41,Single,No,No,No,60,Driver,Male,39,Inner Regional Australia,Central Coast,Central Coast,Arterial Road,No,No,26_to_39,Weekend,Night,1
20152215,Vic,10,2015,Thursday,0:05,Single,No,No,No,110,Passenger,Male,45,Inner Regional Australia,Hume,Wangaratta (RC),National or State Highway,No,No,40_to_64,Weekday,Night,1
20154056,SA,10,2015,Saturday,9:53,Multiple,No,No,No,50,Pedal cyclist,Male,59,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa (DC),Local Road,No,No,40_to_64,Weekend,Day,1
20154041,SA,10,2015,Tuesday,12:30,Multiple,No,No,Yes,80,Driver,Male,17,Outer Regional Australia,South Australia - South East,Loxton Waikerie (DC),National or State Highway,No,No,17_to_25,Weekday,Day,1
20156026,Tas,10,2015,Monday,14:13,Multiple,No,Yes,No,100,Driver,Male,40,Outer Regional Australia,West and North West,Circular Head (M),National or State Highway,No,No,40_to_64,Weekday,Day,1
20154032,SA,10,2015,Monday,16:06,Single,No,No,No,40,Pedestrian,Female,62,Major Cities of Australia,Adelaide - North,Tea Tree Gully (C),Local Road,No,No,40_to_64,Weekday,Day,1
20151233,NSW,9,2015,Wednesday,12:30,Multiple,No,No,No,60,Driver,Male,84,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No,75_or_older,Weekday,Day,1
20151046,NSW,9,2015,Monday,14:00,Single,No,No,No,60,Passenger,Female,72,Major Cities of Australia,Newcastle and Lake Macquarie,Newcastle,Arterial Road,No,No,65_to_74,Weekday,Day,1
20151140,NSW,9,2015,Saturday,15:30,Multiple,No,No,No,100,Passenger,Female,70,Outer Regional Australia,New England and North West,Liverpool Plains,National or State Highway,No,No,65_to_74,Weekend,Day,1
20151217,NSW,8,2015,Monday,19:00,Single,No,No,No,100,Passenger,Female,2,Outer Regional Australia,New England and North West,Liverpool Plains,National or State Highway,No,No,0_to_16,Weekday,Night,1
20151234,NSW,8,2015,Sunday,8:40,Single,No,No,No,110,Driver,Male,22,Major Cities of Australia,Richmond - Tweed,Tweed,National or State Highway,No,No,17_to_25,Weekend,Day,1
20151146,NSW,8,2015,Wednesday,6:55,Multiple,No,No,No,50,Driver,Male,89,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road,No,No,75_or_older,Weekday,Day,1
20154076,SA,8,2015,Sunday,1:15,Single,No,No,No,60,Pedestrian,Female,49,Major Cities of Australia,Adelaide - North,Tea Tree Gully (C),Arterial Road,No,No,40_to_64,Weekend,Night,1
20155040,WA,7,2015,Tuesday,22:49,Single,No,No,No,100,Motorcycle rider,Male,41,Major Cities of Australia,Mandurah,Mandurah (C),ARTERIAL ROAD,No,No,40_to_64,Weekday,Night,1
20152071,Vic,7,2015,Sunday,1:40,Single,No,No,No,100,Driver,Male,37,Inner Regional Australia,Hume,Murrindindi (S),National or State Highway,No,No,26_to_39,Weekend,Night,1
20151171,NSW,7,2015,Friday,15:14,Multiple,No,Yes,No,80,Motorcycle rider,Male,42,Major Cities of Australia,Hunter Valley exc Newcastle,Port Stephens,Arterial Road,No,No,40_to_64,Weekday,Day,1
20152102,Vic,7,2015,Sunday,20:14,Multiple,No,No,No,50,Pedestrian,Female,74,Major Cities of Australia,Melbourne - North West,Moreland (C),Collector Road,No,No,65_to_74,Weekend,Night,1
20152199,Vic,6,2015,Thursday,16:35,Multiple,No,No,No,100,Driver,Male,76,Inner Regional Australia,Melbourne - Outer East,Yarra Ranges (S),Local Road,No,No,75_or_older,Weekday,Day,1
20151074,NSW,6,2015,Saturday,0:58,Single,No,No,No,50,Pedestrian,Male,37,Inner Regional Australia,Capital Region,Goulburn Mulwaree,Local Road,No,No,26_to_39,Weekend,Night,1
20151259,NSW,5,2015,Thursday,19:00,Single,No,No,No,100,Passenger,Female,20,Inner Regional Australia,Riverina,Cootamundra-Gundagai,Arterial Road,No,No,17_to_25,Weekday,Night,1
20152155,Vic,5,2015,Sunday,10:11,Multiple,No,No,No,100,Driver,Male,19,Inner Regional Australia,Ballarat,Moorabool (S),National or State Highway,No,No,17_to_25,Weekend,Day,1
20151113,NSW,5,2015,Thursday,16:15,Multiple,No,No,Yes,100,Driver,Female,18,Inner Regional Australia,Hunter Valley exc Newcastle,Singleton,National or State Highway,No,No,17_to_25,Weekday,Day,1
20151073,NSW,5,2015,Monday,11:20,Multiple,No,No,No,60,Driver,Female,86,Inner Regional Australia,Far West and Orana,Dubbo Regional,National or State Highway,No,No,75_or_older,Weekday,Day,1
20154025,SA,4,2015,Sunday,14:38,Multiple,No,No,No,110,Passenger,Female,88,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield (DC),National or State Highway,No,No,75_or_older,Weekend,Day,1
20155110,WA,4,2015,Sunday,8:42,Single,No,No,No,60,Driver,Male,78,Major Cities of Australia,Perth - North East,Bayswater (C),ARTERIAL ROAD,No,No,75_or_older,Weekend,Day,1
20152085,Vic,4,2015,Saturday,3:10,Single,No,Yes,No,50,Pedestrian,Male,59,Major Cities of Australia,Melbourne - West,Maribyrnong (C),Sub-arterial Road,No,No,40_to_64,Weekend,Night,1
20151296,NSW,4,2015,Saturday,17:00,Single,No,No,No,70,Pedestrian,Male,36,Major Cities of Australia,Sydney - Ryde,Hornsby,National or State Highway,No,No,26_to_39,Weekend,Day,1
20155057,WA,3,2015,Saturday,22:00,Single,No,No,No,80,Passenger,Female,15,Major Cities of Australia,Perth - North West,Wanneroo (C),ARTERIAL ROAD,No,No,0_to_16,Weekend,Night,1
20157004,NT,3,2015,Wednesday,2:30,Single,No,No,No,110,Passenger,Male,38,Very Remote Australia,Northern Territory - Outback,Barkly (R),Access road,No,No,26_to_39,Weekday,Night,1
20152193,Vic,3,2015,Sunday,21:20,Single,No,No,No,100,Motorcycle rider,Male,47,Major Cities of Australia,Melbourne - Inner South,Stonnington (C),National or State Highway,No,No,40_to_64,Weekend,Night,1
20151225,NSW,3,2015,Wednesday,8:00,Single,No,No,No,50,Pedestrian,Female,90,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Local Road,No,No,75_or_older,Weekday,Day,1
20152072,Vic,2,2015,Saturday,19:40,Single,No,No,No,80,Driver,Female,50,Major Cities of Australia,Melbourne - West,Melton (C),Local Road,No,No,40_to_64,Weekend,Night,1
20156015,Tas,2,2015,Sunday,11:11,Single,No,No,No,100,Motorcycle rider,Male,57,Outer Regional Australia,South East,Central Highlands (M) (Tas.),Sub-arterial Road,No,No,40_to_64,Weekend,Day,1
20155087,WA,2,2015,Friday,14:59,Multiple,Yes,No,No,80,Driver,Male,64,Outer Regional Australia,Western Australia - Wheat Belt,Williams (S),NATIONAL OR STATE HIGHWAY,No,No,40_to_64,Weekday,Day,1
20154078,SA,1,2015,Monday,19:08,Multiple,No,No,No,100,Driver,Female,26,Inner Regional Australia,South Australia - South East,Yankalilla (DC),Arterial Road,No,No,26_to_39,Weekday,Night,1
20154004,SA,1,2015,Saturday,9:10,Multiple,No,Yes,No,110,Driver,Male,60,Outer Regional Australia,South Australia - Outback,Franklin Harbour (DC),Arterial Road,No,No,40_to_64,Weekend,Day,1
20154008,SA,1,2015,Monday,13:04,Multiple,No,No,Yes,60,Pedal cyclist,Female,37,Major Cities of Australia,Adelaide - West,Charles Sturt (C),Arterial Road,No,No,26_to_39,Weekday,Day,1
20155055,WA,1,2015,Tuesday,14:46,Single,No,No,No,110,Passenger,Male,11,Very Remote Australia,Western Australia - Outback (North),East Pilbara (S),NATIONAL OR STATE HIGHWAY,No,No,0_to_16,Weekday,Day,1
20152094,Vic,1,2015,Thursday,6:51,Single,No,No,No,70,Driver,Male,28,Major Cities of Australia,Melbourne - Inner South,Bayside (C),Arterial Road,Yes,No,26_to_39,Weekday,Day,1
20145141,WA,12,2014,Thursday,0:09,Single,No,No,No,110,Passenger,Male,43,Outer Regional Australia,Bunbury,Boyup Brook (S),ARTERIAL ROAD,No,No,40_to_64,Weekday,Night,1
20146002,Tas,11,2014,Thursday,17:00,Single,No,No,No,100,Driver,Male,69,Remote Australia,West and North West,West Coast (M),National or State Highway,No,No,65_to_74,Weekday,Day,1
20145139,WA,10,2014,Sunday,18:55,Multiple,Yes,No,No,110,Passenger,Female,5,Very Remote Australia,Western Australia - Outback (South),Kalgoorlie/Boulder (C),NATIONAL OR STATE HIGHWAY,No,No,0_to_16,Weekend,Night,1
20145040,WA,10,2014,Monday,15:25,Single,No,No,No,60,Motorcycle rider,Male,34,Major Cities of Australia,Perth - South East,Gosnells (C),ARTERIAL ROAD,No,No,26_to_39,Weekday,Day,1
20144061,SA,9,2014,Monday,9:25,Single,No,No,No,110,Driver,Female,26,Inner Regional Australia,Barossa - Yorke - Mid North,Light (RegC),National or State Highway,No,No,26_to_39,Weekday,Day,1
20144090,SA,9,2014,Friday,10:40,Single,No,No,No,100,Motorcycle rider,Male,66,Very Remote Australia,South Australia - Outback,Unincorporated SA,Sub-arterial Road,No,No,65_to_74,Weekday,Day,1
20145147,WA,7,2014,Saturday,16:25,Single,No,No,No,50,Motorcycle rider,Male,19,Major Cities of Australia,Perth - South West,Cockburn (C),LOCAL ROAD,No,No,17_to_25,Weekend,Day,1
20146025,Tas,7,2014,Thursday,13:35,Multiple,No,No,Yes,110,Passenger,Female,76,Outer Regional Australia,Launceston and North East,Northern Midlands (M),National or State Highway,No,No,75_or_older,Weekday,Day,1
20145008,WA,4,2014,Monday,22:45,Single,No,No,No,50,Passenger,Male,35,Major Cities of Australia,Perth - North East,Mundaring (S),LOCAL ROAD,No,No,26_to_39,Weekday,Night,1
20145125,WA,3,2014,Sunday,6:00,Single,No,No,No,90,Pedestrian,Male,49,Remote Australia,Western Australia - Wheat Belt,Lake Grace (S),ARTERIAL ROAD,No,No,40_to_64,Weekend,Day,1
20145020,WA,1,2014,Saturday,12:25,Single,No,No,No,110,Motorcycle rider,Male,43,Inner Regional Australia,Western Australia - Wheat Belt,Chittering (S),ARTERIAL ROAD,No,No,40_to_64,Weekend,Day,1
20144022,SA,1,2014,Monday,9:35,Single,No,No,No,50,Pedestrian,Female,82,Major Cities of Australia,Adelaide - North,Tea Tree Gully (C),Local Road,No,No,75_or_older,Weekday,Day,1
